Algorithm,Time,Distance,Distance from Goal,Path Deviation,Original Distance from Goal,Trajectory Smoothness,Obstacle Clearance,Search Space,Memory
Dijkstra,0.039193,9.41421353816986,0.0,0.0,8.246211,0.15707963267948966,2.3823028822792915,58.59375,71.05
Dijkstra,0.006129,3.0,0.0,0.0,3.0,0.0,1.8090169943749475,12.890625,22.062
Dijkstra,0.048505,13.071067690849304,0.0,0.0,8.246211,0.2617993877991494,1.3333333333333333,71.484375,89.462
Dijkstra,0.049395,13.242640614509583,0.0,0.0,12.369317,0.060415242021782875,6.53439412968274,75.390625,93.006
Dijkstra,0.045557,8.071067690849304,0.0,0.0,7.81025,0.11219974007310274,2.4285714285714284,72.265625,88.813
Dijkstra,0.026042,5.828427076339722,0.0,0.0,5.3851647,0.13089969104719623,6.057908728966317,42.1875,58.482
Dijkstra,0.055052,12.071067690849304,0.0,0.0,11.18034,0.07139983459197446,4.962835970432331,75.390625,91.286
Dijkstra,0.02525,6.828427076339722,0.0,0.0,6.3245554,0.11219974007310274,4.608756739108737,39.0625,55.994
Dijkstra,0.009678,4.0,0.0,0.0,4.0,0.0,5.543652090601087,17.96875,30.306
Dijkstra,0.013967,5.2426406145095825,0.0,0.0,5.0,0.1570796292566355,3.6305964890165896,23.828125,33.806
Dijkstra,0.00737,3.414213538169861,0.0,0.0,3.1622777,0.19634953657079435,2.5,17.578125,29.254
Dijkstra,0.047761,12.899494767189026,0.0,0.0,12.206555,0.07139983459197446,3.300867871854228,66.015625,206.35
Dijkstra,0.020096,6.414213538169861,0.0,0.0,6.0827627,0.11219974007310274,5.422600302894298,33.59375,77.75
Dijkstra,0.04633,11.071067690849304,0.0,0.0,10.29563,0.07853981462831774,2.8812559200041266,67.96875,86.174
Dijkstra,0.024459,8.071067690849304,0.0,0.0,7.81025,0.11219974007310274,1.9668327050903385,36.71875,48.166
Dijkstra,0.053228,10.242640614509583,0.0,0.0,9.486833,0.23561945415351576,1.8064495102245979,76.171875,91.834
Dijkstra,0.016508,5.2426406145095825,0.0,0.0,5.0,0.1570796292566355,7.290739161502256,31.25,39.53
Dijkstra,0.036782,11.828427076339722,0.0,0.0,11.0,0.1963495451279298,2.8177132666701055,50.0,65.298
Dijkstra,0.003363,1.4142135381698608,0.0,0.0,1.4142135,0.0,2.5,7.421875,16.417
Dijkstra,0.048322,13.828427076339722,0.0,0.0,13.152946,0.11219973518331106,2.5998254827736034,67.96875,88.054
Dijkstra,0.061068,14.242640614509583,0.0,0.0,13.341664,0.11219974007310274,2.6618654301824223,80.859375,97.186
Dijkstra,0.058912,11.0,0.0,0.0,11.0,0.0,1.4125703849682214,80.46875,95.666
Dijkstra,0.003885,1.4142135381698608,0.0,0.0,1.4142135,0.0,5.5,8.984375,18.971
Dijkstra,0.059101,26.071067690849304,0.0,0.0,16.643316,0.09424778029226463,2.3067639181767867,64.84375,81.19
Dijkstra,0.003125,2.0,0.0,0.0,2.0,0.0,5.393952027490282,5.859375,16.566
Dijkstra,0.040009,9.828427076339722,0.0,0.0,9.219544,0.07853981462831774,2.848917828737073,51.5625,65.934
Dijkstra,0.048078,9.828427076339722,0.0,0.0,9.219544,0.07853981805117191,2.122677276241436,66.015625,76.09
Dijkstra,0.029727,13.485281229019165,0.0,0.0,12.206555,0.19634954227555132,2.3687235987603956,38.28125,57.35
Dijkstra,0.015808,5.2426406145095825,0.0,0.0,5.0,0.15707963610234382,3.0,27.34375,36.726
Dijkstra,0.041474,7.071067690849304,0.0,0.0,7.071068,0.0,6.546465554663977,65.234375,75.122
Dijkstra,0.006111,2.414213538169861,0.0,0.0,2.236068,0.26179938209439246,4.2235160309735145,12.109375,21.792
Dijkstra,0.055557,10.899494767189026,0.0,0.0,10.630146,0.08726646450130213,5.499609537412669,75.78125,91.19
Dijkstra,0.061723,16.656854152679443,0.0,0.0,12.206555,0.24543692927062838,1.4516732976508975,83.984375,99.29
Dijkstra,0.02332,10.242640614509583,0.0,0.0,9.486833,0.07853981462831774,4.4,30.859375,40.174
Dijkstra,0.045268,9.828427076339722,0.0,0.0,9.219544,0.07853981462831774,1.8650281539872886,66.015625,75.882
